"DOI","Publication Date","Publication Year","Journal","Research Article' or 'non-Research Article'?","Article Title","Citations - CrossRef","Citations - PubMed Central","Citations - Scopus"
"10.1371/journal.pone.0005970",06/24/09,2009,"PLoS ONE","RA","A Fish Eye Out of Water: Ten Visual Opsins in the Four-Eyed Fish, Anableps anableps",0,0,0
"10.1371/journal.pone.0005971",06/22/09,2009,"PLoS ONE","RA","Antigen-Presenting Cells Represent Targets for R5 HIV-1 Infection in the First Trimester Pregnancy Uterine Mucosa",0,0,0
"10.1371/journal.pone.0005972",06/22/09,2009,"PLoS ONE","RA","Mapping Insertions, Deletions and SNPs on Venter's Chromosomes",0,0,0
"10.1371/journal.pone.0005973",06/22/09,2009,"PLoS ONE","RA","Streptococcus suis, an Important Cause of Adult Bacterial Meningitis in Northern Vietnam",0,0,0
"10.1371/journal.pone.0005974",06/24/09,2009,"PLoS ONE","RA","Stimulus Familiarity Affects Perceptual Restoration in the European Starling (Sturnus vulgaris)",0,0,0
"10.1371/journal.pone.0005975",06/22/09,2009,"PLoS ONE","RA","Natural Triterpenic Diols Promote Apoptosis in Astrocytoma Cells through ROS-Mediated Mitochondrial Depolarization and JNK Activation",0,0,0
"10.1371/journal.pone.0005976",06/19/09,2009,"PLoS ONE","RA","Plk1-Dependent Recruitment of ?-Tubulin Complexes to Mitotic Centrosomes Involves Multiple PCM Components",0,0,0
"10.1371/journal.pone.0005977",06/22/09,2009,"PLoS ONE","RA","Cytoplasmic Continuity Revisited: Closure of Septa of the Filamentous Fungus Schizophyllum commune in Response to Environmental Conditions",0,0,0
"10.1371/journal.pone.0005978",06/19/09,2009,"PLoS ONE","RA","Divergent Cardiopulmonary Actions of Heme Oxygenase Enzymatic Products in Chronic Hypoxia",0,0,0
"10.1371/journal.pone.0005979",06/19/09,2009,"PLoS ONE","RA","Ligation of ?-Dystroglycan on Podocytes Induces Intracellular Signaling: A New Mechanism for Podocyte Effacement?",0,0,0
"10.1371/journal.pone.0005980",06/19/09,2009,"PLoS ONE","RA","Endogenous TasiRNAs Mediate Non-Cell Autonomous Effects on Gene Regulation in Arabidopsis thaliana",0,0,0
"10.1371/journal.pone.0005981",06/22/09,2009,"PLoS ONE","RA","Increased Frequency and Compromised Function of T Regulatory Cells in Systemic Sclerosis (SSc) Is Related to a Diminished CD69 and TGF? Expression",0,0,0
"10.1371/journal.pone.0005982",06/19/09,2009,"PLoS ONE","RA","Parallel Loss of Plastid Introns and Their Maturase in the Genus Cuscuta",0,0,0
"10.1371/journal.pone.0005983",06/19/09,2009,"PLoS ONE","RA","Association between Common Germline Genetic Variation in 94 Candidate Genes or Regions and Risks of Invasive Epithelial Ovarian Cancer",0,0,0
"10.1371/journal.pone.0005984",06/19/09,2009,"PLoS ONE","RA","Preclinical Evaluation of a Replication-Deficient Intranasal ?NS1 H5N1 Influenza Vaccine",0,0,0
"10.1371/journal.pone.0005985",06/19/09,2009,"PLoS ONE","RA","Rapid Insulin-Dependent Endocytosis of the Insulin Receptor by Caveolae in Primary Adipocytes",0,0,0
"10.1371/journal.pone.0005986",06/19/09,2009,"PLoS ONE","RA","Mineralization Potential of Polarized Dental Enamel",0,0,0
"10.1371/journal.pone.0005987",06/24/09,2009,"PLoS ONE","RA","Induction of Empathy by the Smell of Anxiety",0,0,0
"10.1371/journal.pone.0005988",06/19/09,2009,"PLoS ONE","RA","20-Hydroxycholecalciferol, Product of Vitamin D3 Hydroxylation by P450scc, Decreases NF-?B Activity by Increasing I?B? Levels in Human Keratinocytes",0,0,0
"10.1371/journal.pone.0005989",06/19/09,2009,"PLoS ONE","RA","Shared Visual Attention and Memory Systems in the Drosophila Brain",0,0,0
"10.1371/journal.pone.0005990",06/22/09,2009,"PLoS ONE","RA","Toll-Like Receptor Polymorphisms and Susceptibility to Urinary Tract Infections in Adult Women",0,0,0
"10.1371/journal.pone.0005991",06/24/09,2009,"PLoS ONE","RA","Melanopsin Bistability: A Fly's Eye Technology in the Human Retina",0,0,0
"10.1371/journal.pone.0005992",07/10/09,2009,"PLoS ONE","RA","Identification of Global Transcriptional Dynamics",0,0,0
"10.1371/journal.pone.0005993",06/19/09,2009,"PLoS ONE","RA","Cardiac Arrest during Gamete Release in Chum Salmon Regulated by the Parasympathetic Nerve System",0,0,0
"10.1371/journal.pone.0005994",06/22/09,2009,"PLoS ONE","RA","Differential Responses of Human Regulatory T Cells (Treg) and Effector T Cells to Rapamycin",0,0,0
"10.1371/journal.pone.0005995",06/22/09,2009,"PLoS ONE","RA","Cholinergic Pairing with Visual Activation Results in Long-Term Enhancement of Visual Evoked Potentials",0,0,0
"10.1371/journal.pone.0005996",06/24/09,2009,"PLoS ONE","RA","Large-Scale Assessment of the Effect of Popularity on the Reliability of Research",0,0,0
"10.1371/journal.pone.0005997",06/22/09,2009,"PLoS ONE","RA","Induction of Antibody Responses to African Horse Sickness Virus (AHSV) in Ponies after Vaccination with Recombinant Modified Vaccinia Ankara (MVA)",0,0,0
"10.1371/journal.pone.0005998",06/22/09,2009,"PLoS ONE","RA","Motor Learning Characterized by Changing L?vy Distributions",0,0,0
"10.1371/journal.pone.0005999",06/22/09,2009,"PLoS ONE","RA","Linking HIV-Infected TB Patients to Cotrimoxazole Prophylaxis and Antiretroviral Treatment in India",0,0,0
"10.1371/journal.pone.0006000",06/22/09,2009,"PLoS ONE","RA","Genotyping and Phylogenetic Analysis of Yersinia pestis by MLVA: Insights into the Worldwide Expansion of Central Asia Plague Foci",0,0,0
"10.1371/journal.pone.0006001",06/23/09,2009,"PLoS ONE","RA","Molecular Determinants of Juvenile Hormone Action as Revealed by 3D QSAR Analysis in Drosophila",0,0,0
"10.1371/journal.pone.0006002",07/01/09,2009,"PLoS ONE","RA","Acute Stress Increases Sex Differences in Risk Seeking in the Balloon Analogue Risk Task",0,0,0
"10.1371/journal.pone.0006003",06/23/09,2009,"PLoS ONE","RA","Pilot Study of Essential Drug Quality in Two Major Cities in India",0,0,0
"10.1371/journal.pone.0006004",06/23/09,2009,"PLoS ONE","RA","Histamine H3 Receptor-Mediated Signaling Protects Mice from Cerebral Malaria",0,0,0
"10.1371/journal.pone.0006005",06/23/09,2009,"PLoS ONE","RA","Cell Therapy Attenuates Cardiac Dysfunction Post Myocardial Infarction: Effect of Timing, Routes of Injection and a Fibrin Scaffold",0,0,0
"10.1371/journal.pone.0006006",06/23/09,2009,"PLoS ONE","RA","Impaired Interleukin-1? and c-Fos Expression in the Hippocampus Is Associated with a Spatial Memory Deficit in P2X7 Receptor-Deficient Mice",0,0,0
"10.1371/journal.pone.0006007",06/23/09,2009,"PLoS ONE","RA","BDNF Activates mTOR to Regulate GluR1 Expression Required for Memory Formation",0,0,0
"10.1371/journal.pone.0006008",06/23/09,2009,"PLoS ONE","RA","Reliability at the Lower Limits of HIV-1 RNA Quantification in Clinical Samples: A Comparison of RT-PCR versus bDNA Assays",0,0,0
"10.1371/journal.pone.0006009",06/23/09,2009,"PLoS ONE","RA","Receptor Activated Ca2+ Release Is Inhibited by Boric Acid in Prostate Cancer Cells",0,0,0
"10.1371/journal.pone.0006010",06/23/09,2009,"PLoS ONE","RA","Understanding Physiological and Degenerative Natural Vision Mechanisms to Define Contrast and Contour Operators",0,0,0
"10.1371/journal.pone.0006011",06/23/09,2009,"PLoS ONE","RA","Disassembly of Shank and Homer Synaptic Clusters Is Driven by Soluble ?-Amyloid1-40 through Divergent NMDAR-Dependent Signalling Pathways",0,0,0
"10.1371/journal.pone.0006012",07/07/09,2009,"PLoS ONE","RA","Sex Is Always Well Worth Its Two-Fold Cost",0,0,0
"10.1371/journal.pone.0006013",06/23/09,2009,"PLoS ONE","RA","Human Telomere Length Correlates to the Size of the Associated Chromosome Arm",0,0,0
"10.1371/journal.pone.0006014",06/30/09,2009,"PLoS ONE","RA","Racial Differences in the Human Endogenous Circadian Period",0,0,0
"10.1371/journal.pone.0006015",06/23/09,2009,"PLoS ONE","RA","Alpha-Helical Protein Networks Are Self-Protective and Flaw-Tolerant",0,0,0
"10.1371/journal.pone.0006016",06/23/09,2009,"PLoS ONE","RA","Increased Sensitivity to Thermal Pain Following a Single Opiate Dose Is Influenced by the COMT val158met Polymorphism",0,0,0
"10.1371/journal.pone.0006017",06/24/09,2009,"PLoS ONE","RA","Fine-Scale Dissection of Functional Protein Network Organization by Statistical Network Analysis",0,0,0
"10.1371/journal.pone.0006018",06/23/09,2009,"PLoS ONE","RA","Expression of Pseudomonas aeruginosa CupD Fimbrial Genes Is Antagonistically Controlled by RcsB and the EAL-Containing PvrR Response Regulators",0,0,0
"10.1371/journal.pone.0006019",06/24/09,2009,"PLoS ONE","RA","Neuron-Specific Regulation of Associative Learning and Memory by MAGI-1 in C. elegans",0,0,0
"10.1371/journal.pone.0006020",06/23/09,2009,"PLoS ONE","RA","Chlamydia pneumoniae Hides inside Apoptotic Neutrophils to Silently Infect and Propagate in Macrophages",0,0,0
"10.1371/journal.pone.0006021",06/23/09,2009,"PLoS ONE","RA","Long-Term Potentiation in Isolated Dendritic Spines",0,0,0
"10.1371/journal.pone.0006022",06/29/09,2009,"PLoS ONE","RA","A Principal Component Analysis of 39 Scientific Impact Measures",0,0,0
"10.1371/journal.pone.0006023",06/24/09,2009,"PLoS ONE","RA","Epstein-Barr Virus Independent Dysregulation of UBP43 Expression Alters Interferon-Stimulated Gene Expression in Burkitt Lymphoma",0,0,0
"10.1371/journal.pone.0006024",06/24/09,2009,"PLoS ONE","RA","No Need to Discriminate? Reproductive Diploid Males in a Parasitoid with Complementary Sex Determination",0,0,0
"10.1371/journal.pone.0006025",06/26/09,2009,"PLoS ONE","RA","Interaction with LC8 Is Required for Pak1 Nuclear Import and Is Indispensable for Zebrafish Development",0,0,0
"10.1371/journal.pone.0006026",06/24/09,2009,"PLoS ONE","RA","Modulation of the Intestinal Microbiota Alters Colitis-Associated Colorectal Cancer Susceptibility",1,0,0
"10.1371/journal.pone.0006027",06/24/09,2009,"PLoS ONE","RA","Association of Interleukin-6 Signalling with the Muscle Stem Cell Response Following Muscle-Lengthening Contractions in Humans",0,0,0
"10.1371/journal.pone.0006028",06/24/09,2009,"PLoS ONE","RA","Raf Kinase Inhibitory Protein Protects Cells against Locostatin-Mediated Inhibition of Migration",0,0,0
"10.1371/journal.pone.0006029",06/24/09,2009,"PLoS ONE","RA","Myc Is a Metastasis Gene for Non-Small-Cell Lung Cancer",0,0,0
"10.1371/journal.pone.0006030",06/24/09,2009,"PLoS ONE","RA","CCHCR1 Is Up-Regulated in Skin Cancer and Associated with EGFR Expression",0,0,0
"10.1371/journal.pone.0006031",06/24/09,2009,"PLoS ONE","RA","Suppression of Glomerulonephritis in NZB/NZW Lupus Prone Mice by Adoptive Transfer of Ex Vivo Expanded Regulatory T Cells",0,0,0
"10.1371/journal.pone.0006032",06/24/09,2009,"PLoS ONE","RA","A Trivalent Virus-Like Particle Vaccine Elicits Protective Immune Responses against Seasonal Influenza Strains in Mice and Ferrets",0,0,0
"10.1371/journal.pone.0006033",06/24/09,2009,"PLoS ONE","RA","Cardiomyocyte Contractile Dysfunction in the APPswe/PS1dE9 Mouse Model of Alzheimer's Disease",0,0,0
"10.1371/journal.pone.0006034",06/29/09,2009,"PLoS ONE","RA","Targeting 160 Candidate Genes for Blood Pressure Regulation with a Genome-Wide Genotyping Array",0,0,0
"10.1371/journal.pone.0006035",06/25/09,2009,"PLoS ONE","RA","No Detectable Maternal Effects of Elevated CO2 on Arabidopsis thaliana Over 15 Generations",0,0,0
"10.1371/journal.pone.0006036",06/24/09,2009,"PLoS ONE","RA","Simultaneous Live Cell Imaging Using Dual FRET Sensors with a Single Excitation Light",0,0,0
"10.1371/journal.pone.0006037",06/24/09,2009,"PLoS ONE","RA","Analysis of Germline Variants in CDH1, IGFBP3, MMP1, MMP3, STK15 and VEGF in Familial and Sporadic Renal Cell Carcinoma",0,0,0
"10.1371/journal.pone.0006038",06/25/09,2009,"PLoS ONE","RA","3D Model of Lamprey Estrogen Receptor with Estradiol and 15?-Hydroxy-Estradiol",0,0,0
"10.1371/journal.pone.0006039",06/25/09,2009,"PLoS ONE","RA","Alteration of Gene Expression Signatures of Cortical Differentiation and Wound Response in Lethal Clear Cell Renal Cell Carcinomas",0,0,0
"10.1371/journal.pone.0006040",06/25/09,2009,"PLoS ONE","RA","Genetic Profiling Reveals Cross-Contamination and Misidentification of 6 Adenoid Cystic Carcinoma Cell Lines: ACC2, ACC3, ACCM, ACCNS, ACCS and CAC2",0,0,0
"10.1371/journal.pone.0006041",06/30/09,2009,"PLoS ONE","RA","Fibrils from Designed Non-Amyloid-Related Synthetic Peptides Induce AA-Amyloidosis during Inflammation in an Animal Model",0,0,0
"10.1371/journal.pone.0006042",06/24/09,2009,"PLoS ONE","RA","Gender Differences in the Motivational Processing of Babies Are Determined by Their Facial Attractiveness",0,0,0
"10.1371/journal.pone.0006043",06/25/09,2009,"PLoS ONE","RA","Reduced Attentional Scope in Cocaine Polydrug Users",0,0,0
"10.1371/journal.pone.0006044",06/25/09,2009,"PLoS ONE","RA","A Novel Flow Cytometric High Throughput Assay for a Systematic Study on Molecular Mechanisms Underlying T Cell Receptor-Mediated Integrin Activation",0,0,0
"10.1371/journal.pone.0006045",06/25/09,2009,"PLoS ONE","RA","Increased MicroRNA Activity in Human Cancers",0,0,0
"10.1371/journal.pone.0006046",06/25/09,2009,"PLoS ONE","RA","Probing Natural Killer Cell Education by Ly49 Receptor Expression Analysis and Computational Modelling in Single MHC Class I Mice",0,0,0
"10.1371/journal.pone.0006047",06/25/09,2009,"PLoS ONE","RA","The Role of Salivary and Intestinal Complement System Inhibitors in the Midgut Protection of Triatomines and Mosquitoes",0,0,0
"10.1371/journal.pone.0006048",06/26/09,2009,"PLoS ONE","RA","Linoleic Acid-Induced Mitochondrial Ca2+ Efflux Causes Peroxynitrite Generation and Protein Nitrotyrosylation",0,0,0
"10.1371/journal.pone.0006049",06/25/09,2009,"PLoS ONE","RA","Tbx1 Regulates the BMP-Smad1 Pathway in a Transcription Independent Manner",0,0,0
"10.1371/journal.pone.0006050",06/25/09,2009,"PLoS ONE","RA","Dynamic Interaction between STLV-1 Proviral Load and T-Cell Response during Chronic Infection and after Immunosuppression in Non-Human Primates",0,0,0
"10.1371/journal.pone.0006051",06/25/09,2009,"PLoS ONE","RA","Severe Human Influenza Infections in Thailand: Oseltamivir Treatment and Risk Factors for Fatal Outcome",0,0,0
"10.1371/journal.pone.0006052",07/08/09,2009,"PLoS ONE","RA","Evidence for the Concerted Evolution between Short Linear Protein Motifs and Their Flanking Regions",0,0,0
"10.1371/journal.pone.0006053",06/25/09,2009,"PLoS ONE","RA","A Systems Immunology Approach to the Host-Tumor Interaction: Large-Scale Patterns of Natural Autoantibodies Distinguish Healthy and Tumor-Bearing Mice",0,0,0
"10.1371/journal.pone.0006054",06/29/09,2009,"PLoS ONE","RA","Dll1 Haploinsufficiency in Adult Mice Leads to a Complex Phenotype Affecting Metabolic and Immunological Processes",0,0,0
"10.1371/journal.pone.0006055",06/25/09,2009,"PLoS ONE","RA","When Stress Predicts a Shrinking Gene Pool, Trading Early Reproduction for Longevity Can Increase Fitness, Even with Lower Fecundity",0,0,0
"10.1371/journal.pone.0006056",06/26/09,2009,"PLoS ONE","RA","Decoupling Internalization, Acidification and Phagosomal-Endosomal/lysosomal Fusion during Phagocytosis of InlA Coated Beads in Epithelial Cells",0,0,0
"10.1371/journal.pone.0006057",06/26/09,2009,"PLoS ONE","RA","Quantification of Normal Cell Fraction and Copy Number Neutral LOH in Clinical Lung Cancer Samples Using SNP Array Data",0,0,0
"10.1371/journal.pone.0006058",06/26/09,2009,"PLoS ONE","RA","Physico-Chemical Characteristics of Lipoplexes Influence Cell Uptake Mechanisms and Transfection Efficacy",0,0,0
"10.1371/journal.pone.0006059",06/26/09,2009,"PLoS ONE","RA","Differential Effects of Early Weaning for HIV-Free Survival of Children Born to HIV-Infected Mothers by Severity of Maternal Disease",0,0,0
"10.1371/journal.pone.0006060",06/26/09,2009,"PLoS ONE","RA","Estimating the Incidence of Symptomatic Rotavirus Infections: A Systematic Review and Meta-Analysis",0,0,0
"10.1371/journal.pone.0006061",06/26/09,2009,"PLoS ONE","RA","Concurrent Growth Rate and Transcript Analyses Reveal Essential Gene Stringency in Escherichia coli",0,0,0
"10.1371/journal.pone.0006062",06/26/09,2009,"PLoS ONE","RA","Bacterial Antigen Expression Is an Important Component in Inducing an Immune Response to Orally Administered Salmonella-Delivered DNA Vaccines",0,0,0
"10.1371/journal.pone.0006063",06/26/09,2009,"PLoS ONE","RA","Quantification of Food Intake in Drosophila",0,0,0
"10.1371/journal.pone.0006064",06/26/09,2009,"PLoS ONE","RA","Detection of the Antiviral Drug Oseltamivir in Aquatic Environments",0,0,0
"10.1371/journal.pone.0006065",06/26/09,2009,"PLoS ONE","RA","Competition Triggers Plasmid-Mediated Enhancement of Substrate Utilisation in Pseudomonas putida",0,0,0
"10.1371/journal.pone.0006066",06/26/09,2009,"PLoS ONE","RA","High Fat Feeding Induces Hepatic Fatty Acid Elongation in Mice",0,0,0
"10.1371/journal.pone.0006067",06/26/09,2009,"PLoS ONE","RA","The Wnt/?-Catenin Pathway Interacts Differentially with PTHrP Signaling to Control Chondrocyte Hypertrophy and Final Maturation",0,0,0
"10.1371/journal.pone.0006068",06/29/09,2009,"PLoS ONE","RA","A Genetic Screen in Drosophila Reveals Novel Cytoprotective Functions of the Autophagy-Lysosome Pathway",0,0,0
"10.1371/journal.pone.0006069",06/29/09,2009,"PLoS ONE","RA","Gene Order Phylogeny and the Evolution of Methanogens",0,0,0
"10.1371/journal.pone.0006070",06/29/09,2009,"PLoS ONE","RA","Cool Sex? Hibernation and Reproduction Overlap in the Echidna",0,0,0
"10.1371/journal.pone.0006071",06/29/09,2009,"PLoS ONE","RA","A Comprehensive Approach to Identification of Surface-Exposed, Outer Membrane-Spanning Proteins of Leptospira interrogans",0,0,0
"10.1371/journal.pone.0006072",07/15/09,2009,"PLoS ONE","RA","Rapid Evolution of Virulence and Drug Resistance in the Emerging Zoonotic Pathogen Streptococcus suis",0,0,0
"10.1371/journal.pone.0006073",06/29/09,2009,"PLoS ONE","RA","Temporal and Spatial Analysis of Clinical and Molecular Parameters in Dextran Sodium Sulfate Induced Colitis",0,0,0
"10.1371/journal.pone.0006074",06/29/09,2009,"PLoS ONE","RA","More than 9,000,000 Unique Genes in Human Gut Bacterial Community: Estimating Gene Numbers Inside a Human Body",0,0,0
"10.1371/journal.pone.0006075",06/29/09,2009,"PLoS ONE","RA","Peroxiredoxin 6 Fails to Limit Phospholipid Peroxidation in Lung from Cftr-Knockout Mice Subjected to Oxidative Challenge",0,0,0
"10.1371/journal.pone.0006076",06/29/09,2009,"PLoS ONE","RA","Intragraft Selection of the T Cell Receptor Repertoire by Class I MHC Sequences in Tolerant Recipients",0,0,0
"10.1371/journal.pone.0006077",06/29/09,2009,"PLoS ONE","RA","A Novel In Vitro Multiple-Stress Dormancy Model for Mycobacterium tuberculosis Generates a Lipid-Loaded, Drug-Tolerant, Dormant Pathogen",0,0,0
"10.1371/journal.pone.0006078",07/01/09,2009,"PLoS ONE","RA","The Sedating Antidepressant Trazodone Impairs Sleep-Dependent Cortical Plasticity",0,0,0
"10.1371/journal.pone.0006079",06/29/09,2009,"PLoS ONE","RA","Low-Abundance HIV Drug-Resistant Viral Variants in Treatment-Experienced Persons Correlate with Historical Antiretroviral Use",0,0,0
"10.1371/journal.pone.0006080",06/27/09,2009,"PLoS ONE","RA","Rosiglitazone and Myocardial Infarction in Patients Previously Prescribed Metformin",0,0,0
"10.1371/journal.pone.0006081",06/30/09,2009,"PLoS ONE","RA","Molecular Dynamics Simulation of Ligand Dissociation from Liver Fatty Acid Binding Protein",0,0,0
"10.1371/journal.pone.0006082",06/30/09,2009,"PLoS ONE","RA","Early Cell Fate Decisions of Human Embryonic Stem Cells and Mouse Epiblast Stem Cells Are Controlled by the Same Signalling Pathways",0,0,0
"10.1371/journal.pone.0006083",06/29/09,2009,"PLoS ONE","RA","Rapid Assessment of Malaria Transmission Using Age-Specific Sero-Conversion Rates",0,0,0
"10.1371/journal.pone.0006084",06/29/09,2009,"PLoS ONE","RA","Nestin Modulates Glucocorticoid Receptor Function by Cytoplasmic Anchoring",0,0,0
"10.1371/journal.pone.0006085",07/01/09,2009,"PLoS ONE","RA","The Complete Genome of Teredinibacter turnerae T7901: An Intracellular Endosymbiont of Marine Wood-Boring Bivalves (Shipworms)",0,0,0
"10.1371/journal.pone.0006086",06/30/09,2009,"PLoS ONE","RA","Transcription-Independent Heritability of Induced Histone Modifications in the Mouse Preimplantation Embryo",0,0,0
"10.1371/journal.pone.0006087",06/30/09,2009,"PLoS ONE","RA","Generation of Monoclonal Antibodies against Highly Conserved Antigens",0,0,0
"10.1371/journal.pone.0006088",06/30/09,2009,"PLoS ONE","RA","Metabolites of an Epac-Selective cAMP Analog Induce Cortisol Synthesis by Adrenocortical Cells through a cAMP-Independent Pathway",0,0,0
"10.1371/journal.pone.0006089",06/30/09,2009,"PLoS ONE","RA","A MAP Kinase Dependent Feedback Mechanism Controls Rho1 GTPase and Actin Distribution in Yeast",0,0,0
"10.1371/journal.pone.0006090",06/30/09,2009,"PLoS ONE","RA","Hemichannel-Mediated and pH-Based Feedback from Horizontal Cells to Cones in the Vertebrate Retina",0,0,0
"10.1371/journal.pone.0006091",06/30/09,2009,"PLoS ONE","RA","Perception of Neighborhood Safety and Reported Childhood Lifetime Asthma in the United States (U.S.): A Study Based on a National Survey",0,0,0
"10.1371/journal.pone.0006092",06/30/09,2009,"PLoS ONE","RA","Methamphetamine Induces Dopamine D1 Receptor-Dependent Endoplasmic Reticulum Stress-Related Molecular Events in the Rat Striatum",0,0,0
"10.1371/journal.pone.0006093",06/30/09,2009,"PLoS ONE","RA","Synergistic Activation of HIV-1 Expression by Deacetylase Inhibitors and Prostratin: Implications for Treatment of Latent Infection",0,0,0
"10.1371/journal.pone.0006094",07/10/09,2009,"PLoS ONE","RA","Modeling the Repertoire of True Tumor-Specific MHC I Epitopes in a Human Tumor",0,0,0
"10.1371/journal.pone.0006095",06/30/09,2009,"PLoS ONE","RA","TRPM8, a Versatile Channel in Human Sperm",0,0,0
"10.1371/journal.pone.0006096",06/30/09,2009,"PLoS ONE","RA","Bacterial Ortholog of Mammalian Translocator Protein (TSPO) with Virulence Regulating Activity",0,0,0
"10.1371/journal.pone.0006097",06/30/09,2009,"PLoS ONE","RA","Boule Is Present in Fish and Bisexually Expressed in Adult and Embryonic Germ Cells of Medaka",0,0,0
"10.1371/journal.pone.0006098",07/01/09,2009,"PLoS ONE","RA","Deconvolution of Blood Microarray Data Identifies Cellular Activation Patterns in Systemic Lupus Erythematosus",0,0,0
"10.1371/journal.pone.0006099",07/07/09,2009,"PLoS ONE","RA","PINP: A New Method of Tagging Neuronal Populations for Identification during In Vivo Electrophysiological Recording",0,0,0
"10.1371/journal.pone.0006100",07/01/09,2009,"PLoS ONE","RA","Structure and Function Relationship of the Autotransport and Proteolytic Activity of EspP from Shiga Toxin-Producing Escherichia coli",0,0,0
"10.1371/journal.pone.0006101",07/02/09,2009,"PLoS ONE","RA","Targeting of Drosophila Rhodopsin Requires Helix 8 but Not the Distal C-Terminus",0,0,0
"10.1371/journal.pone.0006102",06/30/09,2009,"PLoS ONE","RA","Dopamine Transporters in Striatum Correlate with Deactivation in the Default Mode Network during Visuospatial Attention",0,0,0
"10.1371/journal.pone.0006103",07/01/09,2009,"PLoS ONE","RA","Characteristics of Medical Research News Reported on Front Pages of Newspapers",0,0,0
"10.1371/journal.pone.0006104",07/01/09,2009,"PLoS ONE","RA","Absence of Leucine Zipper in the Natural FOXP3?2?7 Isoform Does Not Affect Dimerization but Abrogates Suppressive Capacity",0,0,0
"10.1371/journal.pone.0006105",07/01/09,2009,"PLoS ONE","RA","Lactate Dehydrogenase-Elevating Virus Induces Systemic Lymphocyte Activation via TLR7-Dependent IFN? Responses by Plasmacytoid Dendritic Cells",0,0,0
"10.1371/journal.pone.0006106",07/01/09,2009,"PLoS ONE","RA","Association of Polymorphisms of the CHI3L1 Gene with Asthma and Atopy: A Populations-Based Study of 6514 Danish Adults",0,0,0
"10.1371/journal.pone.0006107",07/02/09,2009,"PLoS ONE","RA","dRecQ4 Is Required for DNA Synthesis and Essential for Cell Proliferation in Drosophila",0,0,0
"10.1371/journal.pone.0006108",07/03/09,2009,"PLoS ONE","RA","The Y271 and I274 Amino Acids in Reverse Transcriptase of Human Immunodeficiency Virus-1 Are Critical to Protein Stability",0,0,0
"10.1371/journal.pone.0006109",07/01/09,2009,"PLoS ONE","RA","Targeted Deletion of Multiple CTCF-Binding Elements in the Human C-MYC Gene Reveals a Requirement for CTCF in C-MYC Expression",0,0,0
"10.1371/journal.pone.0006110",07/01/09,2009,"PLoS ONE","RA","Early Low Protein Diet Aggravates Unbalance between Antioxidant Enzymes Leading to Islet Dysfunction",0,0,0
"10.1371/journal.pone.0006111",07/03/09,2009,"PLoS ONE","RA","Precocious Locomotor Behavior Begins in the Egg: Development of Leg Muscle Patterns for Stepping in the Chick",0,0,0
"10.1371/journal.pone.0006112",07/01/09,2009,"PLoS ONE","RA","Adding Pioglitazone to Insulin Containing Regimens in Type 2 Diabetes: Systematic Review and Meta-Analysis",0,0,0
"10.1371/journal.pone.0006113",07/07/09,2009,"PLoS ONE","RA","Absence of p55 TNF Receptor Reduces Atherosclerosis, but Has No Major Effect on Angiotensin II Induced Aneurysms in LDL Receptor Deficient Mice",0,0,0
"10.1371/journal.pone.0006114",07/01/09,2009,"PLoS ONE","RA","Transcriptome Adaptation of Group B Streptococcus to Growth in Human Amniotic Fluid",0,0,0
"10.1371/journal.pone.0006115",07/01/09,2009,"PLoS ONE","RA","Prion Protein (PrP) Knock-Out Mice Show Altered Iron Metabolism: A Functional Role for PrP in Iron Uptake and Transport",0,0,0
"10.1371/journal.pone.0006116",07/01/09,2009,"PLoS ONE","RA","HIV-1 Replication Is Differentially Regulated by Distinct Clinical Strains of Mycobacterium tuberculosis",0,0,0
"10.1371/journal.pone.0006117",07/01/09,2009,"PLoS ONE","RA","Artificial Selection for Whole Animal Low Intrinsic Aerobic Capacity Co-Segregates with Hypoxia-Induced Cardiac Pump Failure",0,0,0
"10.1371/journal.pone.0006118",07/01/09,2009,"PLoS ONE","RA","Influenza-Like Illness Sentinel Surveillance in Peru",0,0,0
"10.1371/journal.pone.0006119",07/01/09,2009,"PLoS ONE","RA","IL-12 Can Target Human Lung Adenocarcinoma Cells and Normal Bronchial Epithelial Cells Surrounding Tumor Lesions",0,0,0
"10.1371/journal.pone.0006120",07/02/09,2009,"PLoS ONE","RA","Mental Rotation of Faces in Healthy Aging and Alzheimer's Disease",0,0,0
"10.1371/journal.pone.0006121",07/01/09,2009,"PLoS ONE","RA","Evidence for X-Chromosomal Schizophrenia Associated with microRNA Alterations",0,0,0
"10.1371/journal.pone.0006122",07/01/09,2009,"PLoS ONE","RA","Novel mGluR- and CB1R-Independent Suppression of GABA Release Caused by a Contaminant of the Group I Metabotropic Glutamate Receptor Agonist, DHPG",0,0,0
"10.1371/journal.pone.0006123",07/01/09,2009,"PLoS ONE","RA","Intracellular Localization and Conformational State of Transglutaminase 2: Implications for Cell Death",0,0,0
"10.1371/journal.pone.0006124",07/01/09,2009,"PLoS ONE","RA","ERK2, but Not ERK1, Mediates Acquired and ?De novo? Resistance to Imatinib Mesylate: Implication for CML Therapy",0,0,0
"10.1371/journal.pone.0006125",07/03/09,2009,"PLoS ONE","RA","Heritable and Lineage-Specific Gene Knockdown in Zebrafish Embryo",0,0,0
